Employed,HaveWorkedWith
0,C++;Python;Git;PostgreSQL
1,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Git;Express;React.js;Vue.js;AWS;PostgreSQL
0,C;C++;Java;Perl;Ruby;Git;Ruby on Rails
0,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL;Git;jQuery;Laravel;Ruby on Rails;AWS;MySQL;PostgreSQL
0,C++;Python
0,JavaScript;Python;Docker;Git;MySQL
1,C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript;Docker;Git;Kubernetes;Angular;Express;Spring;AWS;Heroku;DynamoDB;PostgreSQL
0,C++;Python;Docker;Git
0,Python;Git;PostgreSQL
0,Delphi;Java;SQL;Docker;Git;PostgreSQL
